	1639	1423	1280	1613	28901	1680	1351	139	2702	287	562	813	432308	2022747	70584
d4f9d1b6-ede7-49a7-b374-a64d69e96518			1.0												
6668a708-4d5c-4f1f-b7c3-6df2b4e205bf			1.0												
65cb4dfb-0e91-43d6-bd06-fd209991fd15			1.0												
0410d2fe-08cf-49b2-a988-9fcb42f65a52			1.0												
d5f7803d-74cd-438a-aac0-726b999ba762			1.0												
041ffd60-4d26-4438-804b-fe77d7781d64			1.0												
039e6a16-4e2b-414c-b9d4-9458af19c447			1.0												
ce7d9010-4658-4195-8424-7312a8e1c0e2			1.0												
f4c64e5d-98c6-403d-a876-c8420ade3d81			1.0												
b5968ff0-851f-4ca3-9d46-8b070b5fbbdb			1.0												
38dca951-2a36-4cde-8486-2559647df119			1.0												
6ca1665b-8347-4385-bd61-1f3f301fb599			1.0												
8e02a352-585c-4029-af03-e35217151156			1.0												
93724ffa-eadd-48ca-b3f4-70be96f3fed8			1.0												
70f7dca9-89c8-4243-bbd9-a72c765188d4			1.0												
e778e3bc-53cc-432a-9c65-4b21c789b0d3			1.0												
a5df21f3-4408-48da-a7f8-71285ee354ef			1.0												
65d35bbd-90b3-46a5-abc9-4086e919c64b			1.0												
bb84e946-9f96-4a31-b550-c6a9cb1873a5			1.0												
da700df5-f000-41fd-a353-3c9984f14495			1.0												
e192b90e-8360-4c1d-a554-c7ccf0d1ff89			1.0												
28f06784-7508-4e29-9280-6d1eb00114b0			1.0												
1a056664-c229-4075-be31-2af0844bb1ae			1.0												
03166aaf-8e84-445e-8eab-029e0fa5ab66			1.0												
10de23f9-c6f9-4b84-9f89-e04b90ee365b			1.0												
2c26fcb1-aa25-4a3e-8e73-3d0871884e9b			1.0												
1cecce90-a3bc-42b2-bd7b-6d56f59164e7			1.0												
f88fa58a-e522-4efe-af11-5d9e510a5a24			1.0												
0af87c05-f658-4366-beb9-ddfdbfb81e78			1.0												
b0214ca7-f6cd-43b2-955d-7170a5951bed			1.0												
f21e812c-1b03-42ac-a120-275a6bd7be06			1.0												
fb8b04f4-56f7-4535-bdc9-2dd8364d1ec7			1.0												
aec2f523-ecb9-4ddb-8ca4-8e9b18cc849d			1.0												
8d461a87-5892-4680-b239-ee6680c819a0			1.0												
9c762de2-bb7d-454f-b7bb-8840e4250b40			1.0												
dcc95b0f-6892-431c-86d5-0f6d539e42b3			1.0												
175320dc-c0d0-4fb2-9129-477d5f8d1df6			1.0												
7df7011c-60ea-4826-acfa-ce4f0878ff5f			1.0												
e67baaa9-2bd0-4340-afa6-b7a89658ef84			1.0												
c30f03b9-dfc0-472f-a2ed-538deec02fc7			1.0												
0cc8d84c-0ec6-43f1-9332-d665e11ca35a			1.0												
9e31d83f-f9fe-4401-a947-b9f7d3fcb4ec			1.0												
9c7a2378-1f8e-484d-918c-fda25d817b8b			1.0												
2738c8ef-7956-4b38-9fa6-1fb7bcc4b6d1			1.0												
f26db55a-81a5-4876-b12a-22bfba000f54			1.066171932007942e-201				1.0								
601a2e80-36df-4158-af44-f6db89cf64e0			1.0												
d7b0c0d9-ffbc-4058-b6e5-0e316ea69b05			1.0												
2e75d726-98eb-41b1-a9a5-facbc2cdf792			1.0												
390f37d4-1072-44cf-8aba-665990693e02			1.0												
995ed989-6ac3-4173-8aeb-4b182bcea71c			1.0												
a1f74605-87ad-4fe3-8428-5cc848d12800			1.0												
a5ced22e-11d6-4781-b7a1-81bf89038aff			1.0												
5c315040-c88c-493d-a165-04e1e375edf5			1.0												
c9fac3f4-6f04-444c-8220-8511100ff863			1.0												
b5afa482-10bc-458a-b276-114081935f44			1.0												
153c87cf-d5bc-47a3-8eb8-3dfd0865878e			1.0												
7e9277c3-1ef0-419b-a594-3d0fd666f09d			1.0												
b26f13b8-d356-4527-9925-a9db2fe4426a			1.0												
05d2bf53-09f1-4614-86a7-b7a1580aeca3			1.0												
83ee3692-f498-451b-8f71-e08cfef75f0b			1.0												
58a15608-448b-41f5-b987-4af5786cca6f			1.0												
05cdb50c-fad3-49a6-b0c0-d4c37e66ce49			1.0												
301ca07e-0d11-4dc6-8d0c-1af46f3e50b7			1.0												
7df9e0bf-7d00-439b-8eb9-8b100521a9b8			1.0												
02d8d7df-ebb4-46ff-857f-3f86ccba3a8f			1.0												
78528068-9532-47f3-bac8-00543c794e58			1.0												
724546c0-d1fe-4fa0-b072-b120067c1c5d			1.0												
d77ab480-200c-45bf-bef4-810b0f0dccf5			1.0												
f271abaa-3a68-45d0-a1de-0ed50eee888a			1.0												
743afccf-f75e-4cce-9340-282057f090f3			1.0												
629a372b-65f6-4910-9b09-514a26f5bb45			1.0												
b70e854a-e7b3-4fa0-82f2-7a1c5f0d470e			1.0												
df4b5bf1-4f0a-4a0b-b05a-0220ce7a7265			1.0												
7314af6c-b351-49b1-8e5f-086d208b808a			1.0												
00c1ffaf-3c35-49c4-90a6-eae21fab125a			1.0												
72c83a5a-0d2e-4dff-81b4-d4aceac6e09e			1.0												
48e8375b-7669-4959-ab1b-8d09dc79c686			1.0												
4eb89116-a85c-4def-8b40-19dbafda6a3e			1.0												
b8cb1148-8050-476b-ace7-e9ed7125c186			1.0												
